issue_id,report_id,report_url,report_date,coroner,area,issue_sentence,extract_error,similarity_group_id,group_label,group_description
iss_0000034,2026-0135,https://www.judiciary.uk/prevention-of-future-death-reports/terrence-frost-prevention-of-future-deaths-report/,2026-03-09,N. Parsley,Suffolk,Internal hospital telephone calls to the Medical Assessment Unit frequently go unanswered.,,-1,,
iss_0000035,2026-0135,https://www.judiciary.uk/prevention-of-future-death-reports/terrence-frost-prevention-of-future-deaths-report/,2026-03-09,N. Parsley,Suffolk,Communication failures between primary care and hospital departments may delay the treatment of life-threatening conditions.,,-1,,
iss_0000036,2026-0133,https://www.judiciary.uk/prevention-of-future-death-reports/asher-blackman-prevention-of-future-deaths-report/,2026-03-06,A. Walker,London North,The initial assessment failed to record next of kin details or contingency plans for failed access.,,-1,,
iss_0000037,2026-0133,https://www.judiciary.uk/prevention-of-future-death-reports/asher-blackman-prevention-of-future-deaths-report/,2026-03-06,A. Walker,London North,The policy for failed access did not account for the need for police involvement when patient life is at risk.,,-1,,
iss_0000038,2026-0132,https://www.judiciary.uk/prevention-of-future-death-reports/kay-wilson-prevention-of-future-deaths-report/,2026-03-06,J. Chipperfield,County Durham and Darlington,A breach in the stone wall provides unguarded access to a nine-metre vertical drop.,,-1,,
iss_0000039,2026-0131,https://www.judiciary.uk/prevention-of-future-death-reports/alan-tomlinson-prevention-of-future-deaths-report/,2026-03-06,M. Lanchester,Gwent,Physiologists had limited knowledge regarding infective endocarditis.,,-1,,
iss_0000040,2026-0131,https://www.judiciary.uk/prevention-of-future-death-reports/alan-tomlinson-prevention-of-future-deaths-report/,2026-03-06,M. Lanchester,Gwent,Clinical information and implant site checks were inconsistently gathered during clinic visits.,,-1,,
iss_0000041,2026-0131,https://www.judiciary.uk/prevention-of-future-death-reports/alan-tomlinson-prevention-of-future-deaths-report/,2026-03-06,M. Lanchester,Gwent,Clinical findings were not adequately documented or communicated to the cardiology team.,,-1,,
iss_0000042,2026-0131,https://www.judiciary.uk/prevention-of-future-death-reports/alan-tomlinson-prevention-of-future-deaths-report/,2026-03-06,M. Lanchester,Gwent,No record was made of the patient's clinical condition despite visible signs of illness.,,-1,,
iss_0000043,2026-0131,https://www.judiciary.uk/prevention-of-future-death-reports/alan-tomlinson-prevention-of-future-deaths-report/,2026-03-06,M. Lanchester,Gwent,A failure to refer the patient to the cardiology department occurred despite elevated thresholds.,,-1,,
iss_0000044,2026-0129,https://www.judiciary.uk/prevention-of-future-death-reports/caroline-adeyelu-prevention-of-future-deaths-report/,2026-03-05,N. Persaud,London East,Clinical staff demonstrated a poor appreciation of the risks posed by mentally unwell adult children to their parents.,,-1,,
iss_0000045,2026-0129,https://www.judiciary.uk/prevention-of-future-death-reports/caroline-adeyelu-prevention-of-future-deaths-report/,2026-03-05,N. Persaud,London East,Safeguarding training regarding adult child to parent domestic abuse is insufficient.,,-1,,
iss_0000046,2026-0129,https://www.judiciary.uk/prevention-of-future-death-reports/caroline-adeyelu-prevention-of-future-deaths-report/,2026-03-05,N. Persaud,London East,Clinical teams failed to conduct necessary home visits.,,-1,,
iss_0000047,2026-0129,https://www.judiciary.uk/prevention-of-future-death-reports/caroline-adeyelu-prevention-of-future-deaths-report/,2026-03-05,N. Persaud,London East,Communication systems between mental health services and the police are ineffective for frontline staff.,,-1,,
iss_0000048,2026-0129,https://www.judiciary.uk/prevention-of-future-death-reports/caroline-adeyelu-prevention-of-future-deaths-report/,2026-03-05,N. Persaud,London East,"The Right Care, Right Person policy has increased challenges in communication between agencies.",,-1,,
iss_0000049,2026-0129,https://www.judiciary.uk/prevention-of-future-death-reports/caroline-adeyelu-prevention-of-future-deaths-report/,2026-03-05,N. Persaud,London East,There is a lack of direct and immediate operational liaison between the police and NHS mental health staff.,,-1,,
iss_0000050,2026-0122,https://www.judiciary.uk/prevention-of-future-death-reports/viviana-ray-butnaru-prevention-of-future-deaths-report/,2026-03-04,J. Gill,Essex and Thurrock,Chest X-rays identifying cardiomegaly were not officially reported by a radiologist in a timely manner.,,-1,,
iss_0000051,2026-0122,https://www.judiciary.uk/prevention-of-future-death-reports/viviana-ray-butnaru-prevention-of-future-deaths-report/,2026-03-04,J. Gill,Essex and Thurrock,Clinical handovers between medical staff were not clearly recorded.,,-1,,
iss_0000052,2026-0122,https://www.judiciary.uk/prevention-of-future-death-reports/viviana-ray-butnaru-prevention-of-future-deaths-report/,2026-03-04,J. Gill,Essex and Thurrock,The Paediatric Registrar failed to review blood gas results when they were initially made available.,,-1,,
iss_0000053,2026-0122,https://www.judiciary.uk/prevention-of-future-death-reports/viviana-ray-butnaru-prevention-of-future-deaths-report/,2026-03-04,J. Gill,Essex and Thurrock,The Children’s Early Warning Tool Red score was not escalated in accordance with trust policy.,,-1,,
iss_0000054,2026-0122,https://www.judiciary.uk/prevention-of-future-death-reports/viviana-ray-butnaru-prevention-of-future-deaths-report/,2026-03-04,J. Gill,Essex and Thurrock,The PIER Sepsis Tool was not completed during triage.,,-1,,
iss_0000055,2026-0122,https://www.judiciary.uk/prevention-of-future-death-reports/viviana-ray-butnaru-prevention-of-future-deaths-report/,2026-03-04,J. Gill,Essex and Thurrock,Required reviews by the Nurse in Charge and Paediatric Registrar following Amber scores were not performed.,,-1,,
iss_0000056,2026-0122,https://www.judiciary.uk/prevention-of-future-death-reports/viviana-ray-butnaru-prevention-of-future-deaths-report/,2026-03-04,J. Gill,Essex and Thurrock,Nursing documentation and physiological observations were not completed during the patient's attendance.,,-1,,
iss_0000057,2026-0122,https://www.judiciary.uk/prevention-of-future-death-reports/viviana-ray-butnaru-prevention-of-future-deaths-report/,2026-03-04,J. Gill,Essex and Thurrock,The underlying causes for metabolic acidosis were not fully explored.,,-1,,
iss_0000058,2026-0123,https://www.judiciary.uk/prevention-of-future-death-reports/mark-hughes-prevention-of-future-deaths-report/,2026-03-04,B. Myers,Manchester South,The referral process for the Home Based Treatment Team in South Trafford requires an intermediary step through the Community Mental Health Team.,,-1,,
iss_0000059,2026-0123,https://www.judiciary.uk/prevention-of-future-death-reports/mark-hughes-prevention-of-future-deaths-report/,2026-03-04,B. Myers,Manchester South,"The Community Mental Health Team does not operate over weekends for urgent referrals, causing delays in assessment.",,-1,,
iss_0000060,2026-0123,https://www.judiciary.uk/prevention-of-future-death-reports/mark-hughes-prevention-of-future-deaths-report/,2026-03-04,B. Myers,Manchester South,The timeframe for the Community Mental Health Team to arrange an assessment following an urgent referral can be up to five days.,,-1,,
iss_0000061,2026-0123,https://www.judiciary.uk/prevention-of-future-death-reports/mark-hughes-prevention-of-future-deaths-report/,2026-03-04,B. Myers,Manchester South,General practice professionals in South Trafford are unable to refer directly to the Home Based Treatment Team.,,-1,,
iss_0000062,2026-0123,https://www.judiciary.uk/prevention-of-future-death-reports/mark-hughes-prevention-of-future-deaths-report/,2026-03-04,B. Myers,Manchester South,The inability to refer directly to the Home Based Treatment Team is inconsistent with practices in other boroughs within the same NHS Foundation Trust.,,-1,,
iss_0000063,2026-0124,https://www.judiciary.uk/prevention-of-future-death-reports/oriel-vasey-prevention-of-future-deaths-report/,2026-03-04,A. Combes,Sunderland,Erroneous information from funding allocation forms was incorrectly transferred into clinical records.,,-1,,
iss_0000064,2026-0124,https://www.judiciary.uk/prevention-of-future-death-reports/oriel-vasey-prevention-of-future-deaths-report/,2026-03-04,A. Combes,Sunderland,"The process for managing Integrated Care Board funding forms remains unchanged, posing a risk of recurrence.",,-1,,
iss_0000065,2026-0124,https://www.judiciary.uk/prevention-of-future-death-reports/oriel-vasey-prevention-of-future-deaths-report/,2026-03-04,A. Combes,Sunderland,The inclusion of allergy information on non-clinical funding forms creates a risk of clinical error.,,-1,,
iss_0000066,2026-0124,https://www.judiciary.uk/prevention-of-future-death-reports/oriel-vasey-prevention-of-future-deaths-report/,2026-03-04,A. Combes,Sunderland,Clinicians were unable to amend incorrect allergy information in the medical record despite family reports.,,-1,,
iss_0000067,2026-0125,https://www.judiciary.uk/prevention-of-future-death-reports/mujahid-adam-prevention-of-future-deaths-report/,2026-03-03,E. Buckett,London Inner North,The recording of 15-minute observation checks is not contemporaneous and is prone to inaccuracy.,,-1,,
iss_0000068,2026-0125,https://www.judiciary.uk/prevention-of-future-death-reports/mujahid-adam-prevention-of-future-deaths-report/,2026-03-03,E. Buckett,London Inner North,The prison has not clearly defined what constitutes a satisfactory observation.,,-1,,
iss_0000069,2026-0125,https://www.judiciary.uk/prevention-of-future-death-reports/mujahid-adam-prevention-of-future-deaths-report/,2026-03-03,E. Buckett,London Inner North,Prison staff failed to identify structural disrepair in a special cell that allowed access to ligature materials.,,-1,,
iss_0000070,2026-0125,https://www.judiciary.uk/prevention-of-future-death-reports/mujahid-adam-prevention-of-future-deaths-report/,2026-03-03,E. Buckett,London Inner North,The process for recording observations is impractical as officers cannot take ACCT forms onto the wing.,,-1,,
iss_0000071,2026-0125,https://www.judiciary.uk/prevention-of-future-death-reports/mujahid-adam-prevention-of-future-deaths-report/,2026-03-03,E. Buckett,London Inner North,Observation records are sometimes completed retrospectively at the end of a shift.,,-1,,
iss_0000072,2026-0121,https://www.judiciary.uk/prevention-of-future-death-reports/wendy-boddington-prevention-of-future-deaths-report/,2026-03-03,P. Nieto,Derby and Derbyshire,Long-term prescription of high-dose opioids for chronic pain carries a significant risk of accidental or deliberate overdose.,,-1,,
iss_0000073,2026-0121,https://www.judiciary.uk/prevention-of-future-death-reports/wendy-boddington-prevention-of-future-deaths-report/,2026-03-03,P. Nieto,Derby and Derbyshire,"Patients prescribed long-term opioids may not receive adequate support to reduce, stop, or substitute their medications.",,-1,,
iss_0000074,2026-0121,https://www.judiciary.uk/prevention-of-future-death-reports/wendy-boddington-prevention-of-future-deaths-report/,2026-03-03,P. Nieto,Derby and Derbyshire,There is a lack of specialist services for patients who have developed dependence on prescribed opiates and opioids.,,-1,,
iss_0000075,2026-0121,https://www.judiciary.uk/prevention-of-future-death-reports/wendy-boddington-prevention-of-future-deaths-report/,2026-03-03,P. Nieto,Derby and Derbyshire,Substance misuse services currently only engage with individuals involving non-prescribed drug issues.,,-1,,
iss_0000076,2026-0120,https://www.judiciary.uk/prevention-of-future-death-reports/susan-samson-prevention-of-future-deaths-report-2/,2026-03-02,R. Sutton,County Durham and Darlington,The delay between requests for a second banister and the scheduled installation date was excessive.,,-1,,
iss_0000077,2026-0120,https://www.judiciary.uk/prevention-of-future-death-reports/susan-samson-prevention-of-future-deaths-report-2/,2026-03-02,R. Sutton,County Durham and Darlington,The failure to install a second banister rail before discharge created an avoidable risk of death for the tenant.,,-1,,
iss_0000078,2026-0126,https://www.judiciary.uk/prevention-of-future-death-reports/brema-virgo-prevention-of-future-deaths-report/,2026-02-27,F. Stuart,Gwent,Methods for assessing and interpreting pavement defect heights may fail to reflect the true extent of the defect.,,-1,,
iss_0000079,2026-0126,https://www.judiciary.uk/prevention-of-future-death-reports/brema-virgo-prevention-of-future-deaths-report/,2026-02-27,F. Stuart,Gwent,Inadequate identification of pavement defects prevents necessary remedial action.,,-1,,
iss_0000080,2026-0130,https://www.judiciary.uk/prevention-of-future-death-reports/louis-saunders-prevention-of-future-deaths-report/,2026-02-27,L. Bradford,East Sussex,The GP and the private clinic were both prescribing ADHD medication without awareness of the other's involvement.,,-1,,
iss_0000081,2026-0130,https://www.judiciary.uk/prevention-of-future-death-reports/louis-saunders-prevention-of-future-deaths-report/,2026-02-27,L. Bradford,East Sussex,Inconsistent medication instructions led to the prescription of a drug with different dosing requirements from the intended treatment.,,-1,,
iss_0000082,2026-0130,https://www.judiciary.uk/prevention-of-future-death-reports/louis-saunders-prevention-of-future-deaths-report/,2026-02-27,L. Bradford,East Sussex,There is insufficient continuity of care for patients transferring ADHD treatment from the private sector to the NHS.,,-1,,
iss_0000083,2026-0130,https://www.judiciary.uk/prevention-of-future-death-reports/louis-saunders-prevention-of-future-deaths-report/,2026-02-27,L. Bradford,East Sussex,Current processes fail to ensure safe and continuous care following the transfer of ADHD management to a GP.,,-1,,
iss_0000084,2026-0119,https://www.judiciary.uk/prevention-of-future-death-reports/maisie-almond-prevention-of-future-deaths-report/,2026-02-27,A. Farrow,Manchester South,"There is a national shortage of donor livers, particularly for children in the super urgent category.",,-1,,
iss_0000085,2026-0119,https://www.judiciary.uk/prevention-of-future-death-reports/maisie-almond-prevention-of-future-deaths-report/,2026-02-27,A. Farrow,Manchester South,Clinical guidance restricting the use of cardiac death donor livers has reduced the pool of suitable organs.,,-1,,
iss_0000086,2026-0119,https://www.judiciary.uk/prevention-of-future-death-reports/maisie-almond-prevention-of-future-deaths-report/,2026-02-27,A. Farrow,Manchester South,The availability of donor livers has decreased by one third.,,-1,,
iss_0000087,2026-0119,https://www.judiciary.uk/prevention-of-future-death-reports/maisie-almond-prevention-of-future-deaths-report/,2026-02-27,A. Farrow,Manchester South,The waiting time for donor livers has extended from 48 hours to up to one week.,,-1,,
iss_0000088,2026-0119,https://www.judiciary.uk/prevention-of-future-death-reports/maisie-almond-prevention-of-future-deaths-report/,2026-02-27,A. Farrow,Manchester South,Delays in organ availability create a risk of loss of life.,,-1,,
iss_0000089,2026-0118,https://www.judiciary.uk/prevention-of-future-death-reports/summer-mant-prevention-of-future-deaths-report/,2026-02-27,R. Knight,South Wales Central,The lack of standardised crash trolleys caused confusion during a time-critical event.,,-1,,
iss_0000090,2026-0118,https://www.judiciary.uk/prevention-of-future-death-reports/summer-mant-prevention-of-future-deaths-report/,2026-02-27,R. Knight,South Wales Central,The hospital was operating with a skeleton staff including inexperienced junior doctors.,,-1,,
iss_0000091,2026-0117,https://www.judiciary.uk/prevention-of-future-death-reports/william-webb-prevention-of-future-deaths-report/,2026-02-26,V. Davies,Cheshire,There is a lack of safety equipment to assist individuals in exiting the canal.,,-1,,
iss_0000092,2026-0117,https://www.judiciary.uk/prevention-of-future-death-reports/william-webb-prevention-of-future-deaths-report/,2026-02-26,V. Davies,Cheshire,The height of the canal freeboard makes self-rescue difficult without assistance.,,-1,,
iss_0000093,2026-0117,https://www.judiciary.uk/prevention-of-future-death-reports/william-webb-prevention-of-future-deaths-report/,2026-02-26,V. Davies,Cheshire,There is no signage nearby to alert the public to potential risks.,,-1,,
iss_0000094,2026-0113,https://www.judiciary.uk/prevention-of-future-death-reports/yunus-hoque-prevention-of-future-deaths-report/,2026-02-26,B. Myers,Manchester South,There is no system for follow-up communication from NWAS when unforeseen delays in ambulance attendance occur.,,-1,,
iss_0000095,2026-0113,https://www.judiciary.uk/prevention-of-future-death-reports/yunus-hoque-prevention-of-future-deaths-report/,2026-02-26,B. Myers,Manchester South,The lack of communication regarding significant delays prevents carers from seeking alternative transport or reassessing patient deterioration.,,-1,,
iss_0000096,2026-0113,https://www.judiciary.uk/prevention-of-future-death-reports/yunus-hoque-prevention-of-future-deaths-report/,2026-02-26,B. Myers,Manchester South,A failure to notify callers of delays creates a risk that patients may deteriorate from Category 2 to Category 1 without intervention.,,-1,,
iss_0000098,2026-0116,https://www.judiciary.uk/prevention-of-future-death-reports/urmila-patel-prevention-of-future-deaths-report/,2026-02-26,G. Irvine,London East,A meaningful care plan for mobility was not produced.,,-1,,
iss_0000099,2026-0116,https://www.judiciary.uk/prevention-of-future-death-reports/urmila-patel-prevention-of-future-deaths-report/,2026-02-26,G. Irvine,London East,Staff failed to note a previous fall and reassess the risk of falls.,,-1,,
iss_0000100,2026-0116,https://www.judiciary.uk/prevention-of-future-death-reports/urmila-patel-prevention-of-future-deaths-report/,2026-02-26,G. Irvine,London East,Nursing staff failed to provide adequate monitoring and supervision during the fall.,,-1,,
iss_0000101,2026-0116,https://www.judiciary.uk/prevention-of-future-death-reports/urmila-patel-prevention-of-future-deaths-report/,2026-02-26,G. Irvine,London East,Trust staff failed to adequately assess the likelihood of a traumatic intracranial bleed following the fall.,,-1,,
iss_0000102,2026-0116,https://www.judiciary.uk/prevention-of-future-death-reports/urmila-patel-prevention-of-future-deaths-report/,2026-02-26,G. Irvine,London East,The duty doctor failed to refer the patient for an urgent CT head scan following the fall.,,-1,,
iss_0000103,2026-0116,https://www.judiciary.uk/prevention-of-future-death-reports/urmila-patel-prevention-of-future-deaths-report/,2026-02-26,G. Irvine,London East,The duty doctor failed to review the patient's warfarin prescription after the fall.,,-1,,
iss_0000104,2026-0116,https://www.judiciary.uk/prevention-of-future-death-reports/urmila-patel-prevention-of-future-deaths-report/,2026-02-26,G. Irvine,London East,Ward staff failed to review clinical records to identify the previous day's fall.,,-1,,
iss_0000109,2026-0109,https://www.judiciary.uk/prevention-of-future-death-reports/lesley-krommendijk-prevention-of-future-deaths-report/,2026-02-25,J. Gill,Manchester South,"The patient was discharged from hospital too early, creating an unsafe situation at home.",,-1,,
iss_0000110,2026-0115,https://www.judiciary.uk/prevention-of-future-death-reports/emma-turner-prevention-of-future-deaths-report/,2026-02-25,S. Kaushal,Derby and Derbyshire,Multi-agency processes for discussing clinical and social care needs were not utilised regularly or in a timely manner.,,-1,,
iss_0000111,2026-0115,https://www.judiciary.uk/prevention-of-future-death-reports/emma-turner-prevention-of-future-deaths-report/,2026-02-25,S. Kaushal,Derby and Derbyshire,Safeguarding adult referrals were not fully addressed.,,-1,,
iss_0000112,2026-0115,https://www.judiciary.uk/prevention-of-future-death-reports/emma-turner-prevention-of-future-deaths-report/,2026-02-25,S. Kaushal,Derby and Derbyshire,Speech and language therapists failed to conduct in-person assessments for eleven years during the transition to adult services.,,-1,,
iss_0000114,2026-0115,https://www.judiciary.uk/prevention-of-future-death-reports/emma-turner-prevention-of-future-deaths-report/,2026-02-25,S. Kaushal,Derby and Derbyshire,The GP safeguarding referral template is not tailored to the specific concerns raised by general practitioners.,,-1,,
iss_0000115,2026-0115,https://www.judiciary.uk/prevention-of-future-death-reports/emma-turner-prevention-of-future-deaths-report/,2026-02-25,S. Kaushal,Derby and Derbyshire,"The safeguarding template contains irrelevant questions, risking the omission of key information and delayed responses from safeguarding teams.",,-1,,
iss_0000116,2026-0114,https://www.judiciary.uk/prevention-of-future-death-reports/patrick-griffin-prevention-of-future-deaths-report/,2026-02-24,C. Morris,Manchester South,The resident's need for support with dietary and fluid intake was not adequately met.,,-1,,
iss_0000117,2026-0112,https://www.judiciary.uk/prevention-of-future-death-reports/susan-samson-prevention-of-future-deaths-report/,2026-02-23,R. Sutton,County Durham and Darlington,The deceased was discharged before demonstrating the ability to consistently complete a flight of stairs without assistance.,,-1,,
iss_0000118,2026-0112,https://www.judiciary.uk/prevention-of-future-death-reports/susan-samson-prevention-of-future-deaths-report/,2026-02-23,R. Sutton,County Durham and Darlington,The second banister rail had not been installed prior to the deceased's discharge home.,,-1,,
iss_0000119,2026-0112,https://www.judiciary.uk/prevention-of-future-death-reports/susan-samson-prevention-of-future-deaths-report/,2026-02-23,R. Sutton,County Durham and Darlington,Clinical assessment criteria may be insufficient to ensure patients can safely navigate stairs independently after discharge.,,-1,,
iss_0000121,2026-0103,https://www.judiciary.uk/prevention-of-future-death-reports/alan-crabtree-prevention-of-future-deaths-report/,2026-02-20,E. Wheeler,Cheshire,The dosing regime in the Shared Care Guideline for Oral Methotrexate is sub-therapeutic and does not reflect current practice.,,-1,,
iss_0000122,2026-0103,https://www.judiciary.uk/prevention-of-future-death-reports/alan-crabtree-prevention-of-future-deaths-report/,2026-02-20,E. Wheeler,Cheshire,The Shared Care Guideline for Oral Methotrexate is outdated and fails to account for changes introduced by the Pharmacy First scheme.,,-1,,
iss_0000123,2026-0103,https://www.judiciary.uk/prevention-of-future-death-reports/alan-crabtree-prevention-of-future-deaths-report/,2026-02-20,E. Wheeler,Cheshire,Ambiguity regarding professional responsibilities within the Shared Care Guideline may cause delays in managing methotrexate toxicity.,,-1,,
iss_0000124,2026-0100,https://www.judiciary.uk/prevention-of-future-death-reports/rajwinder-singh-prevention-of-future-deaths-report/,2026-02-19,B. Richmond,London Inner West,The ACCT assessment lacked sufficient detail.,,-1,,
iss_0000125,2026-0100,https://www.judiciary.uk/prevention-of-future-death-reports/rajwinder-singh-prevention-of-future-deaths-report/,2026-02-19,B. Richmond,London Inner West,Risk assessments failed to incorporate the individual's full history.,,-1,,
